locality	type_core	lat_N	lon_E	top_age_kaBP	bottom_age_kaBP	DMAR_g/m2a	sigma_g/m2a	DMAR10_g/m2a	sigma10_g/m2a
Hongtushan_China	loess	33.12	96.71	1.20	2.90	1.26E+02	6.47E+01	3.16E+01	2.49E+01
Shankerpora_India	loess	33.62	75.17	9.00	11.70	3.35E+02	3.06E+02	8.39E+01	9.16E+01
Zhouqu_China	loess	33.78	104.40	2.01	11.70	4.12E+02	1.30E+02	1.24E+02	7.32E+01
Qumalai-2_China	loess	34.04	95.83	0.40	12.80	3.49E+02	1.50E+02	8.73E+01	6.45E+01
Qumalai-5_China	loess	34.16	95.94	1.18	11.60	8.15E+01	3.55E+01	2.04E+01	1.51E+01
Baimapo_China	loess	34.17	109.32	0.00	8.80	3.04E+02	1.17E+02	8.51E+01	3.69E+01
Shiguanzhi_China	loess	34.17	109.20	0.34	8.79	1.21E+02	4.53E+01	3.39E+01	1.63E+01
Chenjiawo-Lantian-1_China	loess	34.18	109.48	0.00	11.70	4.29E+01	3.64E+01	1.20E+01	1.05E+01
Duanjiapo-Lantian-2_China	loess	34.20	109.20	0.00	7.81	2.35E+02	2.00E+02	6.59E+01	5.75E+01
Zhangjiayuan_China	loess	34.27	107.83	0.00	11.70	1.10E+02	9.64E+01	3.07E+01	2.77E+01
Jiezicun-Jiezhichun_China	loess	34.33	109.57	5.20	12.60	2.26E+02	9.42E+01	6.33E+01	2.93E+01
Baoji-Lingyuan_China	loess	34.33	107.00	0.21	7.81	2.20E+02	1.97E+02	6.15E+01	5.65E+01
Weinan-Yangguo_China	loess	34.35	109.52	9.69	11.98	4.09E+02	1.74E+02	1.14E+02	5.37E+01
Weinan-2_China	loess	34.42	109.56	0.21	10.99	4.40E+02	1.61E+02	2.06E+02	1.12E+02
Weinan_China	loess	34.43	109.58	2.90	10.10	9.29E+01	3.23E+01	2.60E+01	1.20E+01
Wulipu_China	loess	34.43	107.65	2.10	11.70	4.07E+01	1.32E+01	2.44E+01	1.08E+01
Laoguantai_China	loess	34.52	109.75	3.12	9.34	4.83E+02	1.43E+02	6.47E+01	2.73E+01
Gaobai_China	loess	34.58	110.61	3.93	11.71	2.44E+02	1.04E+02	6.48E+01	3.79E+01
Caocun_China	loess	34.63	111.15	0.00	11.70	3.05E+02	2.68E+02	7.62E+01	8.11E+01
