locality	type_core	lat	lon	top_age_kaBP	bottom_age_kaBP	DMAR_g/m2a	sigma_g/m2a	DMAR10_g/m2a	sigma10_g/m2a
RC24-01_Atlantic-Ocean	marine	0.55	-13.65	20.88	27.44	3.04E+00	1.34E+00	1.52E+00	1.13E+00
V28-238_Pacific-Ocean	marine	1.02	160.50	19.00	23.00	6.65E-01	2.93E-01	6.65E-01	4.95E-01
21MC_20BB_Pacific-Ocean	marine	1.27	-157.26	20.83	25.29	2.06E-01	9.05E-02	2.06E-01	1.53E-01
ODP138-850A-1H_Pacific-Ocean	marine	1.30	-110.52	20.00	25.00	2.41E-01	1.06E-01	2.41E-01	1.79E-01
RC17-177_Pacific-Ocean	marine	1.75	159.50	20.00	25.00	7.39E-01	3.25E-01	7.39E-01	5.50E-01
RC11-210_Pacific-Ocean	marine	1.80	-140.05	19.00	23.00	2.01E-01	8.84E-02	2.01E-01	1.50E-01
KNR73-4PC_Pacific-Ocean	marine	1.84	-110.27	19.36	26.62	2.47E-01	1.10E-01	2.47E-01	1.85E-01
RC13-189_Atlantic-Ocean	marine	1.87	-30.00	18.62	25.41	5.39E+00	2.37E+00	2.69E+00	2.00E+00
TT013-MC97_Pacific-Ocean	marine	2.05	-140.14	19.00	23.00	2.65E-01	1.17E-01	2.65E-01	1.97E-01
TR163-19P_Pacific-Ocean	marine	2.26	-90.95	19.00	23.00	2.63E-01	1.16E-01	2.63E-01	1.96E-01
EN066-29GGC_Atlantic-Ocean	marine	2.46	-19.76	19.45	24.83	4.99E+00	2.18E+00	2.49E+00	1.85E+00
26MC-25BB_Pacific-Ocean	marine	2.46	-159.39	22.50	26.20	2.47E-01	1.09E-01	2.47E-01	1.84E-01
P7_Pacific-Ocean	marine	2.60	-83.99	19.98	25.12	3.08E+00	1.57E+00	3.08E+00	2.43E+00
ODP138-851E-1H_Pacific-Ocean	marine	2.77	-110.57	20.00	25.00	2.71E-01	1.19E-01	2.71E-01	2.02E-01
RC13-140_Pacific-Ocean	marine	2.87	-87.75	20.53	23.19	4.98E-01	2.19E-01	4.98E-01	3.71E-01
29MC-28BB_Pacific-Ocean	marine	2.97	-159.20	19.55	25.73	2.25E-01	9.90E-02	2.25E-01	1.67E-01
Y69-106P_Pacific-Ocean	marine	2.98	-86.55	20.78	26.13	8.64E-01	3.80E-01	8.64E-01	6.43E-01
EN066-21GGC_Atlantic-Ocean	marine	4.23	-20.63	18.91	22.66	6.23E+00	2.64E+00	3.11E+00	2.29E+00
MC1208-31BB_Pacific-Ocean	marine	4.68	-160.05	19.64	26.02	1.77E-01	7.80E-02	1.77E-01	1.32E-01
EN066-38GGC_Atlantic-Ocean	marine	4.92	-20.50	19.20	25.26	5.76E+00	2.44E+00	2.88E+00	2.11E+00
TT013-MC112_Pacific-Ocean	marine	5.08	-139.64	19.00	23.00	3.02E-01	1.33E-01	3.02E-01	2.25E-01
33MC_32BB_Pacific-Ocean	marine	5.20	-160.43	20.46	25.96	2.08E-01	9.14E-02	2.08E-01	1.55E-01
ODP138-852A-1H_Pacific-Ocean	marine	5.29	-110.08	20.00	28.00	3.26E-01	1.43E-01	3.26E-01	2.43E-01
VM20-234_Atlantic-Ocean	marine	5.33	-33.03	19.37	21.11	5.89E+00	2.59E+00	2.95E+00	2.19E+00
39MC-36BB_Pacific-Ocean	marine	6.83	-161.04	19.67	24.90	2.42E-01	1.06E-01	2.42E-01	1.80E-01
ML1208-37BB_Pacific-Ocean	marine	7.04	-161.63	19.29	26.16	2.22E-01	9.75E-02	2.22E-01	1.65E-01
ODP138-853B-1H_Pacific-Ocean	marine	7.21	-109.76	20.00	24.00	4.05E-01	1.78E-01	4.05E-01	3.01E-01
KL15_Gulf-of-Aden	marine	12.86	47.43	19.40	19.40	4.51E+00	2.13E+00	2.25E+00	1.72E+00
74KL_Arabian-Sea	marine	14.32	57.38	20.50	23.10	6.21E+00	2.73E+00	3.73E+00	2.77E+00
RC27-42_Arabian-Sea	marine	16.50	59.80	19.00	27.40	7.31E+00	3.21E+00	4.38E+00	3.26E+00
MD03-2705_Atlantic-Ocean	marine	18.08	-21.15	19.06	26.45	7.54E+00	3.32E+00	3.32E+00	2.21E+00
KL11_Red-Sea	marine	18.74	39.34	19.00	19.00	4.20E+00	1.88E+00	2.10E+00	1.57E+00
OCE437-07-GC68_Atlantic-Ocean	marine	19.36	-17.28	19.27	20.08	2.64E+01	9.58E+00	7.11E+00	3.35E+00
OC437-07-GC49_Atlantic-Ocean	marine	23.21	-17.85	18.78	21.74	5.53E+00	1.69E+00	1.54E+00	6.57E-01
